,home_id,home,home_score,away_id,away,away_score,startdate,complete
0,548,LaGrange College,,125762,Florida Memorial University,,2023-08-26T17:00:00.000Z,True
1,87,Notre Dame,42.0,2426,Navy,3.0,2023-08-26T18:30:00.000Z,True
2,2382,Mercer,17.0,2453,North Alabama,7.0,2023-08-26T19:30:00.000Z,True
3,55,Jacksonville State,17.0,2638,UTEP,14.0,2023-08-26T21:30:00.000Z,True
4,21,San Diego State,20.0,195,Ohio,13.0,2023-08-26T23:00:00.000Z,True
5,166,New Mexico State,30.0,113,UMass,41.0,2023-08-26T23:00:00.000Z,True
6,399,Albany,34.0,2230,Fordham,13.0,2023-08-26T23:00:00.000Z,True
7,2296,Jackson State,37.0,2569,South Carolina State,7.0,2023-08-26T23:30:00.000Z,True
8,238,Vanderbilt,35.0,62,Hawai'i,28.0,2023-08-26T23:30:00.000Z,True
9,30,USC,56.0,23,San José State,28.0,2023-08-27T00:00:00.000Z,True
10,2348,Louisiana Tech,22.0,2229,Florida International,17.0,2023-08-27T01:00:00.000Z,True
11,2441,New Haven,24.0,341,Frostburg State,27.0,2023-08-31T04:00:00.000Z,True
12,2320,Lamar,17.0,70,Idaho,42.0,2023-08-31T04:00:00.000Z,True
13,2274,Hiram,14.0,191,Heidelberg,68.0,2023-08-31T04:00:00.000Z,True
14,2837,Texas A&M-Commerce,10.0,302,UC Davis,48.0,2023-08-31T04:00:00.000Z,True
15,2413,Morehead State,37.0,2707,West Virginia State,35.0,2023-08-31T04:00:00.000Z,True
16,338,Kennesaw State,38.0,2839,Tusculum,7.0,2023-08-31T04:00:00.000Z,True
17,2886,Northwood MI,9.0,2249,Glenville State,44.0,2023-08-31T18:00:00.000Z,True
25,126110,Keiser University,14.0,2401,Mississippi College,17.0,2023-08-31T22:00:00.000Z,True
24,2017,Alderson-Broaddus,0.0,2858,California PA,0.0,2023-08-31T22:00:00.000Z,True
23,2827,Rowan,17.0,471,Stevenson,20.0,2023-08-31T22:00:00.000Z,True
22,122666,Barton College,41.0,2804,Chowan,0.0,2023-08-31T22:00:00.000Z,True
21,2882,UNC Pembroke,19.0,2220,Fayetteville State,17.0,2023-08-31T22:00:00.000Z,True
20,129,Saginaw Valley,34.0,2851,Winona State,24.0,2023-08-31T22:00:00.000Z,True
19,2127,Charleston Southern,13.0,2822,North Greenville,10.0,2023-08-31T22:00:00.000Z,True
18,351,Wingate,30.0,2013,Albany State GA,7.0,2023-08-31T22:00:00.000Z,True
46,210,Millersville,33.0,2830,St. Anselm,7.0,2023-08-31T23:00:00.000Z,True
47,132,Bemidji State,49.0,425,Northern State,13.0,2023-08-31T23:00:00.000Z,True
48,2310,Kentucky State,34.0,2805,Clark Atlanta,20.0,2023-08-31T23:00:00.000Z,True
49,241,McMurry,19.0,3,Birmingham-Southern,20.0,2023-08-31T23:00:00.000Z,True
50,2291,Indiana PA,24.0,308,Ashland,17.0,2023-08-31T23:00:00.000Z,True
52,2695,West Alabama,14.0,2025,Angelo State,38.0,2023-08-31T23:00:00.000Z,True
53,2698,West Georgia,21.0,2336,Limestone,19.0,2023-08-31T23:00:00.000Z,True
54,196,Northeastern State,0.0,2231,Fort Hays State,56.0,2023-08-31T23:00:00.000Z,True
55,2825,Quincy,34.0,2123,Chadron State,35.0,2023-08-31T23:00:00.000Z,True
56,112335,Wheeling Jesuit,35.0,611,Seton Hill College,24.0,2023-08-31T23:00:00.000Z,True
