,id,name,abrev,color,alt_color,mascot,logos
877,1000509,10th District A.C.,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
878,1000571,111th Ambulance,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
879,1000449,11th Cavalry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
880,1000727,1st Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
881,1000557,1st Texas Artillery,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
882,1000726,20th Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
883,1000770,260th Coast Artillery,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
884,1000399,26th Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
885,1000633,2nd Developmemt Regiment,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
886,1000566,2nd Texas 132nd Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
887,1000562,362nd Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
888,1000677,3rd Army Corps,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
889,1000549,47th Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
890,1000600,48th Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
891,1000551,7th Infantry,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
892,1000668,9th Amry Corps,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
0,2000,Abilene Christian,ACU,#4e2683,#ebebeb,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
893,1000817,Abilene Field,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
894,1000093,Active Football Club,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
895,1000379,Actual Business College,,#FFFFFF,,,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1,2001,Adams State,ADST,#000000,,Grizzlies,http://a.espncdn.com/i/teamlogos/ncaa/500/2001.png
