,id,name,abrev,color,alt_color,mascot,logos
0,2000,Abilene Christian,ACU,#4e2683,#ebebeb,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2000.png
7,2011,Alabama State,ALST,#e9a900,#0a0a0a,Hornets,http://a.espncdn.com/i/teamlogos/ncaa/500/2011.png
16,3162,Alfred State College,ASC,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/3162.png
17,2018,Allegheny,ALL,#000000,,Golden Gators,http://a.espncdn.com/i/teamlogos/ncaa/500/2018.png
28,3111,Apprentice School,APP,#000000,,Builders,http://a.espncdn.com/i/teamlogos/ncaa/500/3111.png
29,12,Arizona,ARIZ,#002449,#00205b,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
38,349,Army,ARMY,#ce9c00,#231f20,Black Knights,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
46,2044,Aurora,AUR,#000000,,Spartans,http://a.espncdn.com/i/teamlogos/ncaa/500/2044.png
73,2802,Bethel MN,BET,#000000,,Royals,http://a.espncdn.com/i/teamlogos/ncaa/500/2802.png
83,2071,Bloomsburg,BLO,#000000,,Huskies,http://a.espncdn.com/i/teamlogos/ncaa/500/2071.png
90,189,Bowling Green,BGSU,#FE5000,#4F2C1D,Falcons,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
97,2803,Bryant,BRY,#000000,#9f8343,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2803.png
100,2084,Buffalo,BUFF,#041A9B,#ebebeb,Bulls,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
101,2085,Buffalo State,BUF,#000000,,Bengals,http://a.espncdn.com/i/teamlogos/ncaa/500/2085.png
108,25,California,CAL,#031522,#ffc423,Golden Bears,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
117,32,Carroll WI,CAR,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/32.png
123,2108,Catholic University,CATH,#000000,,Cardinals,http://a.espncdn.com/i/teamlogos/ncaa/500/2108.png
126,2115,Central Connecticut,CCSU,#1B49A2,#d1d5d8,Blue Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/2115.png
131,2119,Central State,CCI,#000000,,Marauders,http://a.espncdn.com/i/teamlogos/ncaa/500/2119.png
140,236,Chattanooga,CHAT,#00386b,#dca71d,Mocs,http://a.espncdn.com/i/teamlogos/ncaa/500/236.png
149,2134,Clarion,CLA,#000000,,Golden Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/2134.png
168,36,Colorado State,CSU,#004537,#ffc425,Rams,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
169,2570,Colorado State-Pueblo,CSUP,#000000,,Thunderwolves,http://a.espncdn.com/i/teamlogos/ncaa/500/2570.png
180,409,Concordia WI,CON,#000000,,Falcons,http://a.espncdn.com/i/teamlogos/ncaa/500/409.png
183,172,Cornell,COR,#d60027,#101010,Big Red,http://a.espncdn.com/i/teamlogos/ncaa/500/172.png
189,40,Curry,CUR,#000000,,Colonels,http://a.espncdn.com/i/teamlogos/ncaa/500/40.png
194,2166,Davidson,DAV,#000000,#e51837,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2166.png
205,2175,Dickinson,DIC,#000000,,Red Devils,http://a.espncdn.com/i/teamlogos/ncaa/500/2175.png
211,2184,Duquesne,DUQ,#002D62,#b90b2e,Dukes,http://a.espncdn.com/i/teamlogos/ncaa/500/2184.png
224,2188,East Stroudsburg,EAS,#000000,,Warriors,http://a.espncdn.com/i/teamlogos/ncaa/500/2188.png
216,2197,Eastern Illinois,EIU,#000000,#bebab9,Panthers,http://a.espncdn.com/i/teamlogos/ncaa/500/2197.png
219,2201,Eastern New Mexico,EAS,#000000,,Greyhounds,http://a.espncdn.com/i/teamlogos/ncaa/500/2201.png
236,101784,Erskine,ERS,#FFFFFF,,Flying Fleet,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
1160,1000021,Erskine,,#FFFFFF,,The Flying Fleet,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
240,2986,Fairmont State,FAI,#000000,,Falcons,http://a.espncdn.com/i/teamlogos/ncaa/500/2986.png
248,57,Florida,FLA,#0021A5,#0021a5,Gators,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
253,52,Florida State,FSU,#782F40,#ceb888,Seminoles,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
263,2234,Franklin & Marshall,F&M,#000000,,Diplomats,http://a.espncdn.com/i/teamlogos/ncaa/500/2234.png
291,146,Grove City College,GRO,#000000,,Wolverines,http://a.espncdn.com/i/teamlogos/ncaa/500/146.png
295,162,Hamline,HAM,#000000,,Fighting Pipers,http://a.espncdn.com/i/teamlogos/ncaa/500/162.png
297,2261,Hampton,HAMP,#0067AC,,Pirates,http://a.espncdn.com/i/teamlogos/ncaa/500/2261.png
299,2264,Harding,HAR,#000000,,Bison,http://a.espncdn.com/i/teamlogos/ncaa/500/2264.png
302,108,Harvard,HARV,#990000,#dbdbdb,Crimson,http://a.espncdn.com/i/teamlogos/ncaa/500/108.png
308,125974,Hilbert College,,#FFFFFF,,Hilbert,https://github.com/klunn91/team-logos/blob/master/NCAA/_NCAA_logo.png?raw=true
316,107,Holy Cross,HC,#0a0a0a,#080808,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/107.png
330,356,Illinois,ILL,#13294B,#E84A27,Fighting Illini,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
333,306,Illinois Wesleyan,ILL,#000000,,Titans,http://a.espncdn.com/i/teamlogos/ncaa/500/306.png
350,2296,Jackson State,JKST,#123297,#b5b7ba,Tigers,http://a.espncdn.com/i/teamlogos/ncaa/500/2296.png
360,126,Kalamazoo,KAL,#000000,,Hornets,http://a.espncdn.com/i/teamlogos/ncaa/500/126.png
362,2306,Kansas State,KSU,#633194,#e7d2ad,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
366,2309,Kent State,KENT,#002445,#f0b510,Golden Flashes,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
367,96,Kentucky,UK,#005DAA,#ffffff,Wildcats,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
370,352,Kenyon,KEN,#000000,,Lords,http://a.espncdn.com/i/teamlogos/ncaa/500/352.png
1305,6353,Lakeland University,LAKE,#FFFFFF,,Lakeland,http://a.espncdn.com/i/teamlogos/ncaa/500/6353.png
392,2333,Lewis & Clark,LEW,#000000,,Pioneers,http://a.espncdn.com/i/teamlogos/ncaa/500/2333.png
407,209,Lock Haven,LOC,#000000,,Bald Eagles,http://a.espncdn.com/i/teamlogos/ncaa/500/209.png
409,2341,Long Island University,LIU,#69B3E7,#FFC72C,Sharks,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png
408,112358,Long Island University,LIU,#69B3E7,#FFC72C,Sharks,https://a.espncdn.com/i/teamlogos/ncaa/500/112358.png
1333,263,Loras College,LOR,#000000,,Duhawks ,http://a.espncdn.com/i/teamlogos/ncaa/500/263.png
414,2348,Louisiana Tech,LT,#002d65,#d3313a,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
418,2354,Lycoming,LYC,#000000,,Warriors,http://a.espncdn.com/i/teamlogos/ncaa/500/2354.png
420,2359,Macalester,MAC,#000000,,Scots,http://a.espncdn.com/i/teamlogos/ncaa/500/2359.png
434,2368,Marist,MRST,#e53730,#f0f0f0,Red Foxes,http://a.espncdn.com/i/teamlogos/ncaa/500/2368.png
438,2371,Mary Hardin-Baylor,MAR,#000000,,Crusaders,http://a.espncdn.com/i/teamlogos/ncaa/500/2371.png
1376,2816,McKendree,MAN,#000000,,Bearcats,http://a.espncdn.com/i/teamlogos/ncaa/500/2816.png
444,241,McMurry,MCM,#000000,,War Hawks,http://a.espncdn.com/i/teamlogos/ncaa/500/241.png
456,130,Michigan,MICH,#00274c,#FFCB05,Wolverines,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
463,2395,Midwestern State,MID,#000000,,Mustangs,http://a.espncdn.com/i/teamlogos/ncaa/500/2395.png
466,74,Millikin,MIL,#000000,,Big Blue,http://a.espncdn.com/i/teamlogos/ncaa/500/74.png
468,135,Minnesota,MINN,#7A0019,#FFCC33,Golden Gophers,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
472,2364,Minnesota State,MNST,#000000,,Mavericks,http://a.espncdn.com/i/teamlogos/ncaa/500/2364.png
471,2399,Minnesota-Morris,MIN,#000000,,Cougars,http://a.espncdn.com/i/teamlogos/ncaa/500/2399.png
474,568,Minot State,MIN,#000000,,Beavers,http://a.espncdn.com/i/teamlogos/ncaa/500/568.png
478,344,Mississippi State,MSST,#762123,#c8c8c8,Bulldogs,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
